29.974,1.2563,0.18,-0.091759,0.99578,0,0,0,1,0.99578,0.091759,0
29.895,2.5103,0.36,-0.13338,0.99107,0,0,0,1,0.99107,0.13338,0
29.763,3.76,0.54,-0.17476,0.98461,0,0,0,1,0.98461,0.17476,0
29.58,5.0031,0.72,-0.21584,0.97643,0,0,0,1,0.97643,0.21584,0
29.344,6.2374,0.9,-0.25654,0.96653,0,0,0,1,0.96653,0.25654,0
29.057,7.4607,1.08,-0.29679,0.95494,0,0,0,1,0.95494,0.29679,0
28.72,8.671,1.26,-0.33652,0.94168,0,0,0,1,0.94168,0.33652,0
28.331,9.866,1.44,-0.37565,0.92676,0,0,0,1,0.92676,0.37565,0
27.893,11.044,1.62,-0.41413,0.91022,0,0,0,1,0.91022,0.41413,0
27.406,12.202,1.8,-0.45189,0.89208,0,0,0,1,0.89208,0.45189,0
26.871,13.339,1.98,-0.48885,0.87237,0,0,0,1,0.87237,0.48885,0
26.289,14.453,2.16,-0.52495,0.85113,0,0,0,1,0.85113,0.52495,0
25.661,15.541,2.34,-0.56013,0.8284,0,0,0,1,0.8284,0.56013,0
24.988,16.602,2.52,-0.59433,0.80422,0,0,0,1,0.80422,0.59433,0
24.271,17.634,2.7,-0.62748,0.77863,0,0,0,1,0.77863,0.62748,0
23.511,18.634,2.88,-0.65954,0.75167,0,0,0,1,0.75167,0.65954,0
22.71,19.603,3.06,-0.69044,0.72339,0,0,0,1,0.72339,0.69044,0
21.869,20.536,3.24,-0.72012,0.69384,0,0,0,1,0.69384,0.72012,0
20.99,21.434,3.42,-0.74855,0.66308,0,0,0,1,0.66308,0.74855,0
20.074,22.294,3.6,-0.77566,0.63115,0,0,0,1,0.63115,0.77566,0
19.123,23.115,3.78,-0.80141,0.59812,0,0,0,1,0.59812,0.80141,0
18.138,23.896,3.96,-0.82575,0.56403,0,0,0,1,0.56403,0.82575,0
17.121,24.634,4.14,-0.84865,0.52896,0,0,0,1,0.52896,0.84865,0
16.075,25.33,4.32,-0.87005,0.49296,0,0,0,1,0.49296,0.87005,0
15,25.981,4.5,-0.88993,0.45609,0,0,0,1,0.45609,0.88993,0
13.899,26.586,4.68,-0.90825,0.41843,0,0,0,1,0.41843,0.90825,0
12.773,27.145,4.86,-0.92498,0.38002,0,0,0,1,0.38002,0.92498,0
11.625,27.656,5.04,-0.94008,0.34096,0,0,0,1,0.34096,0.94008,0
10.457,28.118,5.22,-0.95353,0.30129,0,0,0,1,0.30129,0.95353,0
9.2705,28.532,5.4,-0.96531,0.2611,0,0,0,1,0.2611,0.96531,0
8.0676,28.895,5.58,-0.9754,0.22045,0,0,0,1,0.22045,0.9754,0
6.8505,29.207,5.76,-0.98377,0.17941,0,0,0,1,0.17941,0.98377,0
5.6214,29.469,5.94,-0.99042,0.13805,0,0,0,1,0.13805,0.99042,0
4.3825,29.678,6.12,-0.99534,0.096457,0,0,0,1,0.096457,0.99534,0
3.1359,29.836,6.3,-0.9985,0.054692,0,0,0,1,0.054692,0.9985,0
1.8837,29.941,6.48,-0.99992,0.012832,0,0,0,1,0.012832,0.99992,0
0.62827,29.993,6.66,-0.99958,-0.029052,0,0,0,1,-0.029052,0.99958,0
-0.62827,29.993,6.84,-0.99748,-0.070884,0,0,0,1,-0.070884,0.99748,0
-1.8837,29.941,7.02,-0.99364,-0.11259,0,0,0,1,-0.11259,0.99364,0
-3.1359,29.836,7.2,-0.98805,-0.1541,0,0,0,1,-0.1541,0.98805,0
-4.3825,29.678,7.38,-0.98073,-0.19534,0,0,0,1,-0.19534,0.98073,0
-5.6214,29.469,7.56,-0.97169,-0.23624,0,0,0,1,-0.23624,0.97169,0
-6.8505,29.207,7.74,-0.96095,-0.27672,0,0,0,1,-0.27672,0.96095,0
-8.0676,28.895,7.92,-0.94852,-0.31672,0,0,0,1,-0.31672,0.94852,0
-9.2705,28.532,8.1,-0.93442,-0.35616,0,0,0,1,-0.35616,0.93442,0
-10.457,28.118,8.28,-0.91869,-0.39498,0,0,0,1,-0.39498,0.91869,0
-11.625,27.656,8.46,-0.90134,-0.43311,0,0,0,1,-0.43311,0.90134,0
-12.773,27.145,8.64,-0.88242,-0.47047,0,0,0,1,-0.47047,0.88242,0
-13.899,26.586,8.82,-0.86194,-0.50701,0,0,0,1,-0.50701,0.86194,0
-15,25.981,9,-0.83995,-0.54266,0,0,0,1,-0.54266,0.83995,0
-16.075,25.33,9.18,-0.81649,-0.57736,0,0,0,1,-0.57736,0.81649,0
-17.121,24.634,9.36,-0.7916,-0.61104,0,0,0,1,-0.61104,0.7916,0
-18.138,23.896,9.54,-0.76532,-0.64365,0,0,0,1,-0.64365,0.76532,0
-19.123,23.115,9.72,-0.73769,-0.67514,0,0,0,1,-0.67514,0.73769,0
-20.074,22.294,9.9,-0.70877,-0.70544,0,0,0,1,-0.70544,0.70877,0
-20.99,21.434,10.08,-0.67861,-0.7345,0,0,0,1,-0.7345,0.67861,0
-21.869,20.536,10.26,-0.64726,-0.76227,0,0,0,1,-0.76227,0.64726,0
-22.71,19.603,10.44,-0.61477,-0.78871,0,0,0,1,-0.78871,0.61477,0
-23.511,18.634,10.62,-0.5812,-0.81376,0,0,0,1,-0.81376,0.5812,0
-24.271,17.634,10.8,-0.54662,-0.83738,0,0,0,1,-0.83738,0.54662,0
-24.988,16.602,10.98,-0.51107,-0.85954,0,0,0,1,-0.85954,0.51107,0
-25.661,15.541,11.16,-0.47463,-0.88019,0,0,0,1,-0.88019,0.47463,0
